Immediately Invoked Function Expression）；IIFE;
correctly	adv.正确地，得体地.实事求是.;
syntax	n.[语]语法,有秩序的排列,句子构造,句法
concept	n.观念，概念.观点.思想，设想，想法.总的印象.;
borrow	vt.& vi.借入.借钱，借用.[数]由上位借.抄袭.;n.借，借用.担保物，抵押.[英史]什一税.;
carnival	n.狂欢节.嘉年华.节日，联欢.;
important	adj.重要的.权威的.有势力的.有地位的.;
different	adj.不同的.各式各样的.个别的.不平常.;
vastly	adv.极大地.广大地.深远地.;
guage	n.线规，进度指示.;
marketing	n.销售，经销，行销，商品销售业务.市场学.商品自生产者转移到消费者手中的一系列有关机能.〈集合词〉市场购买的货品，适合市场上销售的货品.;vt.出售.为出售提供.;vi.卖.买.;
politics	n.政治.政治事务.政治观点.权术.;
accident	n.意外事件.事故.机遇，偶然.附属品.;
merely	adv.仅仅，只不过.只是.纯粹.全然.;
mature	adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期
next	n.adj.下次的,其次的,与...连接,下一个adv.下一次,其次
status	n.地位.情形，状态.身份.;
kid	n.<口>小孩.小山羊，小山羊皮制品.;vt.& vi.欺骗，戏弄，取笑.;adj.较年幼的.小山羊皮制的.;
dumb	adj.哑的，无说话能力的.不说话的，无声的.沉默的，无言的.口齿不清的，（在政府中）无代言人的，政治上无发言权的.;
evoke	vt.产生，引起.唤起.;
phi	n.希腊文的第21个字母.;
design	vt.& vi.设计.绘制.;vt.设计.计划.企图.决意（做）.;n.设计.图案.结构.计划.;vi.设计略图.（为工艺品、装潢项目等）设计.当设计师.构思.;
heritage	n.遗产.继承物.传统.文化遗产.;
partly	adv.在一定程度上.部分地.不完全地.半.;
owing	adj.(～ to) 由于,该付的,未付的,应归功于
criticism	n.批评，批判.鉴定，审定，考证，校勘.苛求，[哲]批判主义.评论，评论文章.;
deal	vt.[牌戏]分.分配.经营.施予.;n.（一笔）交易.许多.待遇.发牌.;vi.论述.（有效地或成功地）处理.惩处.交易.;adj.冷杉木制的，松木制的.;
perpetually	adv.永恒地.终身地.不断地.;
platform	n.(车站)月台,讲台,讲坛 平台
software	n.软件.软体.软设备.;
widely	adv.广泛地.普遍地.到处.大量地.;
importance	n.重要性.重要地位，显著.骄傲，自大.;
doubt	n.怀疑，疑虑.未确定.;vt.怀疑，疑惑.;vi.不确定，不能肯定或怀疑.;
magnitude	n.巨大，广大.重大，重要.量级.（地震）级数.;
order	n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制
grown	adj.长大的,成年的,长满某物的 vbl.grow的过去分词
capability	n.才能，能力.容量.性能.生产率.;
decade	n.十年，十年间.十个一组.十年期.;
nearly	adv.几乎，差不多.险乎.;
prompt	adj.敏捷的.迅速的.立刻的.准时的.;v.促使.导致.鼓励.提示.;n.激励.提示符.提词.提示.;adv.准时地.;
pop	vi.（意外地、突然地）出现.突然出现.发出爆裂声.（突然地）行动.;vt.（突然地）伸出.（突然地）提出问题.（把准备好的东西）突然拿出来.敲击.;n.流行音乐.汽水.（尤用作称呼）爸.（迅速打上的）记号.;adj.流行音乐的.通俗风格的.通俗的.现代的.;adv.爆炸；砰地.;abbr.邮局协议(post office protocol).;
annoying	adj.讨厌的.恼人的.;v.骚扰(annoy的ing形式).;
trail	n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走
mouse	n.老鼠.鼠标.羞怯[胆小]的人.[非正式用语] 眼部青肿.;vi.捕鼠.窥探，偷偷地寻找.;
flickering	adj.闪烁的.摇曳的.忽隐忽现的.一闪一闪的.;v.（通常指灯光）闪烁，摇曳( flicker的现在分词 ).;
consume	vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭
experience	n.经验，体验.经历，阅历.;vt.亲身参与，亲身经历.感受.发现.;
interactive	adj.互相作用的，相互影响的.[计]交互式的.互动的.;n.交互式视频设备.;
drive	n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器
technology	n.科技（总称）.工业技术.工艺学.[总称]术语.;
identify	vt.识别,鉴别,把...和...看成一样v.确定
quirk	n.奇事，巧合.怪癖.突然的弯曲.;
cursing	n.诅咒，逐出教会.;
though	conj.虽然，尽管.即使.纵然.;adv.可是，但是.不过.然而.话虽这样说.;prep.但.;
curse	vt.& vi.诅咒.咒骂.使苦恼，使困苦.把（某人）逐出教门.;n.诅咒.咒语.祸害，祸因.咒逐，逐出教门.;
notice	n.注意.布告.警告.预告.;vt.& vi.注意.;vt.通知.留心.关照.注意到.;vi.引起注意.;
net	n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商
www	abbr.world wide wait 环球等待.;
hudson	abbr.hudson seal (imitation seal made of dyed muskrat fur) 汉德森河海豹皮（由染色的麝鼠毛皮制成的仿海豹皮）.;
shane	n.谢恩(m.).;
using	v.使用（ use的现在分词 ）.利用.耗费.吸（毒）.;n.使用.利用.用途.使用权.;
instead	adv.代替，顶替.反而.反倒.;
general	n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规
creep	vi.爬行，匍匐.缓慢地行进.;n.爬行，蠕动.虫爬着似的感觉，毛骨悚然.卑鄙小人，谄媚者.;
language	n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家
bit	n.一点，一块.少量，少许.一会儿，一转眼.[计] 比特（二进位制信息单位）.;adj.很小的，微不足道的.;adv.[口语]相当，有点儿，或多或少，多少[a bit to的省略].;vt.给（马）上嚼子.上衔铁.抑制.制约.;v.咬，叮( bite的过去式).刺痛.咬饵.有咬（或叮）的习性.;
tiny	adj.极小的，微小的.;n.小孩子.[医]癣.;
thinking	n.思想
critically	adv.批判性地.苛求地.危急地.严重地.;
hope	n.希望，期望.希望的东西.被寄予希望的人或事物、情况.抱有希望的理由.;vt.& vi.希望，期望.;vt.[俚语]相信，认为.;vi.希望，盼望，期待.;
intro	n.<口>(社交场合的)介绍,爵士乐(或流行音乐)的引子
let	vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍
feature	n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用
new	adj.新的，崭新的.新鲜的，新到的.现代的.初次（听到）的.;adv.新近，最近.;
learning	n.学问，学术，知识.;v.学习(learn的现在分词).;
yet	adv.但是.还.已经.又，再.;conj.然而，但是.;
browser	n.浏览程序.浏览器（用于在互联网上查阅信息）.浏览图书报刊者.逛商店的人.;
across	adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边
implementation	n.成就.贯彻.implement的变形.安装启用.;
settling	n.沉淀物.;v.安排( settle的现在分词 ).安放.安家.（使）安定.;
finally	adv.最后，终于.总算.末后.结果.;
perfect	n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练
coming	adj.即将到来的.下一个的.将要遭到报应.自食恶果.;n.（尤指新事物的）到来.到达.;v.来( come的现在分词).到达.达到（认识、理解或相信的程度）.出生.;
working	adj.（涉及）工作的.（人）有工作的.（时间）用于工作上的.（想法等）可作为基础的.;v.（使）工作( work的现在分词).（使）运作.运转.（使）产生效果.;n.工作.活动.制作.操纵.;
realize	vt.认识到,了解,实现,实行
teach	vt.教.教导，训练.教授.;vi.教书.;
hopefully	adv.有希望地.有前途地.抱有希望地.;
me	pron.（人称代词I的宾格）我.;n.自我.自我的一部分.极端自私的人.[音乐]固定唱法时的E音.;
people	n.人,人们,民族,人类,公民vt.使住(满)人
target	n.目标,对象,靶子
brilliant	adj.明亮的.<非正式>美好的.闪耀的.才华横溢的.;n.宝石.钻石.;
wish	n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺
six	n.六.六个.六岁.六点.;num.六.六个.;
lists	n.竞技场.一览表( list的名词复数 ).目录.名单.清单.;
mailing	n.<美>邮寄.投递.邮件.<苏格兰>农场租金.;v.邮寄( mail的现在分词 ).;
specs	n.眼镜.投机，说明，规格( spec的名词复数 ).规范.;
read	vt.& vi.阅读，朗读.显示.研究.看得懂.;vt.显示.阅读.读懂，理解.;n.阅读.读物.读书.里德（人名）.;adj.被朗读的.博识的.博览的.有学问的.;
lot	n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄
understand	vt.& vi.懂，理解.;vt.了解.默认.听说.领会.;
stand	n.台，看台.立场.停止.抵抗.;vi.站立，起立.竖直放置.保持看法.停滞.;vt.使站立.忍受.抵御.承担责任.;vt.& vi.站立，（使）直立，站着.;
done	adj.已完成的.煮熟的.合乎礼仪的.合乎规矩的.;int.（表示接受建议）.;v.做( do的过去分词).干.;
series	n.系列，连续.串联.（广播或电视上题材或角色相同的）系列节目.级数.;
excited	adj.兴奋的，激动的.活跃的.激发的.受刺激的.;v.使兴奋（ excite的过去式和过去分词）.;
exactly	adv.精确地.确切地.完全地，全然.恰恰.;
tool	n.工具,用具,爪牙,走狗,手段vt.用工具加工,使用设备vi.使用工具
rarely	adv.很少地.罕有地.极精彩地.珍奇地，绝佳地.;
bug	n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰
fix	vt.使固定,装置,修理,准备,安装,凝视,整理,牢记vi.固定,注视,决定,选定,确定n.困境,方位,贿赂
problem	n.问题.疑难问题.习题.引起麻烦的人.;adj.成问题的.难处理的.关于社会问题的.;
solve	vt.解决.解答.解释.清偿（债务）.;
best	adj.最好的( good和well的最高级).最愉快的.最幸福的.最合适的.;adv.最好地.最出色地.最高标准地.;n.佼佼者.（个人的）最高水平.最重要的优越性.最好的东西，最合乎要求的事物.;vt.[口]打败，胜过.;
longing	n.渴望，热望.;adj.渴望的.极想得到的.;v.渴望(long的现在分词).;
myself	 pron.我自己,我亲自,我本人
find	vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现 [计] 在文件中查找指定的字符串
loving	adj.爱的，表示爱意的，亲爱的.;adv.亲爱地.;n.爱.慈爱.;v.爱，热爱(love的现在分词).喜爱.喜好.喜欢.;
spite	n.(in ～ of)不顾,不管,敌意v.困扰
de	abbr.demand 需要.double end 双径.data entry 数据输入.decision element 决定要素.;
however	adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是
close	v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地
course	n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业
took	v.拿( take的过去式 ).接受.学习.取得.;
love	vt.& vi.爱，热爱.爱戴.喜欢.赞美，称赞.;vt.喜爱.喜好.喜欢.爱慕.;n.爱情，爱意.疼爱.热爱.爱人，所爱之物.;
spend	vt.& vi.用钱，花钱.;vt.花费.消耗.花（时间）.度过.;n.（为某目的或某段时间内的）花销，花费，开销.;
professional	n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的
considered	adj.经过仔细考虑的.经过深思熟虑的.受尊敬的.经过深思熟虑的看法.;v.考虑( consider的过去式和过去分词).想.注意.看重.;
unfortunately	adv.不幸地，遗憾地.可惜.不巧.;
learn	vt.& vi.学习，学会.习得.得知.记住.;vt.记住.学习.得知.认识到.;vi.学习.获知.;
favorite	n.特别喜欢的人（或物）.喜欢的事物.最有希望获胜者（尤指马）.收藏夹.;adj.喜爱的，宠爱的，中意的.;[美国英语] = favourite.;
fact	n.事实，实情.实际.真相，证据.犯罪行为.;
answer	vt.& vi.答复. 解答. 答辩.适应.;n.回答.答案.反应.足以媲美的人.;
addicted	adj.沉溺于某种嗜好中的
become	vi.变为，成为.变得.变成.;vt.适合，适宜.相称，相当.变成.发生.;
transistor	n.晶体管.晶体管收音机，半导体收音机.;
which	pron.哪一个.哪一些.哪个.那，指前面提到的事物.;adj.哪一个.哪一些.;
rod	n.杆，拉杆.惩罚，体罚.（责打人用的）棍棒.手枪.;
ferrite	n.（正）铁酸盐，铁素体.铁氧体.;
wrapping	n.包装材料.包装纸.;v.包，裹住(wrap的现在分词).;adj.包装用的.;
antenna	n antenae <动>触角 (antenna)n.天线
remove	vt.开除.去除.脱掉，拿下.迁移.;vi.迁移，移居.离开.;n.距离，差距.移动.;
happen	vi.发生,碰巧,偶然v.发生,恰巧,偶然发现
look	vt.& vi.看，瞧.;vi.注意.面向.寻找.看起来好像.;n.看.（尤指吸引人的）相貌.眼神.样子.;int.（插话或唤起注意）喂，听我说.;
mode	n.方式.状况.时尚，风尚.调式.;
research	n.研究,调查vi.研究,调查
went	v.进行( go的过去式 ).去.进展.;
immediately	adv.立即,马上,直接地
purpose	n.意志.目的.作用.（进行中的）行动.;vt.有意.打算.企图（做）.决意（做）.;
wrapped	adj.有包装的,预先包装的
wire	n.金属丝,电线,电报,电信,铁丝网vt.用金属丝卷起,拍电报vi.打电报adj.金属丝制的
copper	n.铜.铜币.紫铜色.警察.;adj.铜制的.;vt.镀铜.;
tube	n.管,管子,[英] 地铁,<美> 电子管,显象管
long	adj.长的.长时间的.冗长的，过长的.长音的.;adv.长久地.始终.遥远地.;n.长时间，长时期.[语]长音节.（服装的）长尺寸.长裤.;vi.渴望，极想.;
weird	adj.怪诞的，超自然的.奇怪的，奇异的.<古>命运的，宿命的.不可思议的.;n.命运，宿命.厄运.<古>命运女神.;
had	v.有（ have的过去式和过去分词 ）.（亲属关系中）接受.拿.买到.;
radio	n.无线电.收音机.无线电广播台.无线电收发报机.;vt.& vi.用无线电发送讯息.作无线电广播.用X射线拍照.;
board	n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)
circuit	n.电路，线路.巡回.唤醒，环形道.〔电〕电流.;vt.巡回，周游.;
looking	adj.有...样子的,有...相貌的
remember	vt.回忆起,铭记,纪念vi.记得
worked	adj.处理过的，作装饰用的.;v.（使）工作( work的过去式和过去分词 ).（使）运作.运转.（使）产生效果.;
ask	vt.& vi.问，询问.需要.要求，请求.邀请.;vt.邀请.请求允许.要价.询问.;vi.请，邀请.询问.要求.;
instantly	adv.立即地,即刻地
broke	vt.打破(break的过去式和过去分词).折断.;adj.破产的.缺乏资金的.;
whenever	adv.究竟什么时候.不论何时.;conj.无论什么时候.随时.无论何时.每当.;
device	n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序
these	adj.这些的.;pron.这些.;
hand	n.手.协助，帮助.（工具等的）把，柄.掌管.;vt.传递，交给.搀扶.支持.;
else	adv.其他.否则.另外.;adj.别的.其他的.;
anything	pron.任何东西.（用于否定句、疑问句中以及 if 或 whether 和 prevent、ban、avoid 等动词后，代替 something）任何东西.重要东西.重要事物.;
stereo	adj.立体声的.有立体感的.;n.立体声.立体声系统.铅板.立体系统或立体像片.;
fi	 [域] Finland ,芬兰
mobile	adj.可移动的.行动自如的.易变的.流动性的.;n.风铃.手机.;
putt	n.（高尔夫球）轻击.;vt.& vi.把（球）轻轻打进洞里.轻轻一击.;
apart	adv.相隔，相距.分散地，分开地.成部分，成碎片.分辨.;adj.分离的，隔离的.;
taking	adj.吸引人的.迷人的.唾手可得.随手可拿.;adv.引人注目地，迷人地.;n.引人注目，迷人.;v.拿( take的现在分词 ).接受.学习.取得.;
child	n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者
acknowledgment	n.承认，承认书，感谢.;
dynamic	adj.动态的.动力的，动力学的.充满活力的，精力充沛的.不断变化的，充满变数的.;n.动态.动力，推动变化的力量.动力学.活力.;
module	n.模块.组件.（宇宙飞船上各个独立的）舱.测量流水等的单位.;
loop	n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环
gritty	adj.多沙的，含砂的.勇敢的，坚毅的，坚定的.;
nitty	adj.多虱卵的，<口>愚蠢的，笨的.;
enlightenment	n.启迪，启发.教化，开导.启蒙运动.;
strike	n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透
hoist	vt.升起，提起.;vi.被举起或抬高.;n.起重机，升降机.升起.<俚>推，托，举.;
scopes	n.领域，范围.（处理、研究事务的）范围( scope的名词复数 ).能力.（活动或能力的）余地.视野.;
plain	n.平原.平地.[纺织业]平针.朴实无华的东西.;adj.平的.素的.清晰的.相貌平平的.;adv.清楚地，明白地.平易地.[用以加强语气]显然.完全地.;vi.发牢骚.诉苦.;
hiding	n.隐匿,隐藏之事,痛打,隐匿之所
block	n.块.街区.<英>大楼，大厦.障碍物，阻碍.;vt.阻止.阻塞.限制.;
versus	 prep.对(指诉讼,比赛等中),与...相对
function	n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责
cheat	vt.欺骗，诈骗.误导，愚弄.躲避，逃脱.;vi.作弊，行骗.犯规.俚〉不忠.消磨，解（闷），消除（疲劳）.;n.欺骗（行为）.骗子.雀麦.〈美俚〉反光镜.;
lex	n.<拉>法,法律,法律体系,罗马公法,罗马私法
lexical	adj.词汇的.具词典性质的，词典的.;
nested	adj.嵌套的.;v.筑巢( nest的过去式和过去分词 ).;
understanding	vt.理解，懂得.熟知，通晓.获知，理解.谅解.;vi.理解，懂得.表示同情或谅解.据说.;n.认识，了解.谅解.知识.;adj.能谅解的.宽容的.通情达理的.;
theory	n.理论,学说,...论,原理,意见,推测
compiler	n.汇编者.编辑者.编纂者.（电脑的）编译程序.;
preface	n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始
foreword	n.前言，序（言）.;
content	n.内容.（书等的）目录.满足.容量.;adj.满足的，满意的.愿意的.心甘情愿的.;vt.使满足，使满意.;
herein	adv.此中，于此.焉.;
contained	v.控制( contain的过去式和过去分词 ).克制.牵制.包含.;
resulting	adj.作为结果的，因而发生的.;v.发生( result的现在分词 ).导致.随着发生.结果发生.;
damage	vt.& vi.损害，毁坏.;n.损害，损毁.赔偿金.;
omission	n.省略，删节.遗漏.疏忽.[法]不履行法律责任.;
error	n.错误，过失.[法]误审，违法.[数]误差.;
responsibility	n.责任.职责.责任感，责任心.负责任.;
assume	v.假定，认为.承担.装出.呈现.;
author	n.著作家.作者.创造者.发起人.;vt.创作出版.;
publisher	n.出版者，出版商，出版社.公布者，发表者.〈美〉办报者.;
preparation	n.准备，预备.准备工作.配制品.制剂.;
taken	v.拿( take的过去分词).接受.取得.;
precaution	n.预防，防备，警惕.预防措施.避孕措施.;vt.使提防.预先警告.;
initial	adj.最初的.开始的.首字母的.;n.首字母.[语音学]声母.特大的大写字母.;vt.用姓名的首字母签名.;
cap	n.帽子,军帽,(瓶)帽,(笔)帽;vt.戴帽子,盖在...顶上;carrierless amplitude and phase,相幅载波
aware	adj.意识到的.知道的.觉察到的.;
this	adj.这,这个,今,本 pron.这,这个
appear	vi.出现，显现.出庭，出场.演出.发表.;
distinguish	vi.区分，辨别，分清.辨别是非.;vt.区分，辨别，分清.辨别出，识别.引人注目，有别于.使杰出，使著名.;
sellers	n.卖者( seller的名词复数 ).卖方.销售者.销售商.;
manufacturer	n.制造商，制造厂.厂主.[经]厂商.;
designation	n.指示,指定,选派,名称
dress	n.女服,童装,服装,衣服v.(给...)穿衣
trade	n.贸易,商业,交易,生意,职业,行业,[气]信风,顾客vi.交易,买卖,经商,对换,购物vt.用...进行交换
related	adj.有关系的.叙述的.;vt.叙述(relate过去式和过去分词).;
javascript	n.[计算机]Java描述语言（一种脚本语言）.;
don	n.<西>君,先生(西班牙语冠于男子姓名前),阁下,(英国剑桥或牛津大学)指导教师vt.穿上
trademark	n.（注册）商标.（人的行为或衣着的）特征，标记.;
registered	adj.注册的.登记过的.已挂号的.（动物）附有血统证明的.;v.记录.登记.注册.显出.;
logo	n.（某公司或机构的）标识，标志，徽标.logotype 的缩略形式.[计算机] LOGO 教学语言.儿童教学语言.;
nutshell	n.坚果的外壳.简言之，一言以蔽之.;
details	n.详细资料.详述( detail的名词复数 ).（照片、绘画等的）细部.细目.各种细节.;
errata	n.正误表，勘误表.写错( erratum的名词复数 ).排错.错误.错字勘误表.;
catalog	n.目录,目录册v.编目录
release	vt.释放.放开.发布.发行.;n.释放，排放，解除.释放令.公映的新影片，发布的新闻[消息].;
history	n.历史，历史学.发展史.履历，经历.（某地的）沿革.;
revision	n.修订，修改.修订本.校对.复审，上诉.;
march	vi.（坚定地向某地）前进.行军，进军.游行示威.进展，进行.;vt.使前进.使行军.;n.行进，前进.行军.游行示威.进行曲.;
illustrator	n.插图画家,图解者,说明者
david	abbr.data above video 超视频数据.digital and video interactive device 数字和视频交互设备.digital audio/video interactive decoder 数字音频/视频交互式解码器.digital anthropometric video imaging device 数字人体测量视频成像设备.;
interior	n.内部.内地.内政.内心.;adj.内部的.内地的，国内的.内面的.;
karen	[女子名] 卡伦 Katherine,Kathleen,Kathryn等的昵称.[女子名] 卡伦 Catherine的丹麦语变体.[人名]可怜.;
designer	n.设计师.设计者.构思者.;adj.由专门设计师设计的.标有设计师名字的.时尚的.时髦的.;
cover	n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替
proofreader	n.校对者.;
melanie	n.梅勒妮(f.)
production	n.生产，制作.产品.产量.夸张的行动或形象，小题大做.;
donald	n.唐纳德（男子名，涵义：世界领袖）.;
mac	n.橡胶雨衣n.[计] =Macintosh;[军] Millitary Airlift Command,军事空运司令部;Media Access Control,介质访问控制
brian	n.布赖恩（亦作Bryan）(m.).;[男子名] [英格兰人姓氏] 布赖恩 Bryan的变体.;
department	n.部门，部.系，学部.知识范围.车间.;
institutional	adj.由来已久的. 习以为常的. 公共机构的. 慈善机构的.;
corporate	adj.法人的，团体的，社团的.公司的，总体国家的.〈古〉团结的.共同的，全体的.;
contact	n.接触,联系vt.接触,联系
information	n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息
title	n.头衔,名称,标题,冠军,资格,字幕,权利,扉页vt.赋予头衔,加标题于adj.标题的,用作书名的
promotional	adj.促销的.增进的.;
business	n.商业,买卖,交易,生意,事情,事物,营业,商行
educational	adj.教育（方面）的.为教育的.有教育意义的.提供咨询的.;
purchase	v.购买.采购.换得.依靠机械力移动.;n.购买.购买行为.购置物.紧握.;
sebastopol	塞瓦斯托波尔（克里米亚半岛西南岸港市）.;[地名] [哥伦比亚、美国] 塞瓦斯托波尔.[地名] [乌克兰] 塞瓦斯托波尔.;
north	n.北方.北部.（美国南北战争时与南方作战的）北部各州.北方发达国家（尤指欧洲和北美各国）.;adj.北方的.北部的.朝北的.（风，光线）来自北方的.;adv.在北方.自北地.向北方.;
highway	n.公路.公用通道.干线.途径，方法.;
gravenstein	n.格拉文施泰因苹果.;[人名] 格拉文斯坦.;
state	n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定
reserved	adj.预订的.矜持的.储藏着的.;v.保留[储备]某物( reserve的过去式).;
inc	abbr.include 包括.income 收入.incoming 进入的.included 包含的.;
kyle	n.<苏>狭海峡
closure	n.（永久的）停业，关闭.结束.[电]闭合.[数]闭包.;vt.使结束，使终止.使停止辩论.;
scope	n.（处理、研究事务的）范围.眼界，见识.（活动或能力的）余地.广袤，地域.;v.审视，仔细研究.;
ell	n.旧时量布的长度.弯头.肘管.;
united	adj.联合的,团结的,一致的
copyright	n.版权,著作权
all	adj.全部的.一切的.各种的.极度的，尽量的.;pron.全部.一切.每个人，每件东西.全部情况.;adv.全部地.完全地.每个.非常.;n.全体.[常作A-]整体.[常与my, your, his, her等连用]（某人）所有的一切.;
solution	n.解答,解决办法,溶解,溶液 解决方案
